unet_optimize
0.01
2classes 
Epoch: 37, Acc: 1.0, Acc_class: 1.0, mIoU: 1.0, fwIoU: 1.0, best_mIoU: 1.0, Loss: 0.000
Epoch: 38, Acc: 1.0, Acc_class: 1.0, mIoU: 1.0, fwIoU: 1.0, best_mIoU: 1.0, Loss: 0.000
Epoch: 223, Acc: 0.9811529338635384, Acc_class: 0.9588500471400414, mIoU: 0.9244160027736126, fwIoU: 0.9636902918262783, best_mIoU: 0.9273041977816959, Loss: 0.019
Epoch: 39, Acc: 1.0, Acc_class: 1.0, mIoU: 1.0, fwIoU: 1.0, best_mIoU: 1.0, Loss: 0.000
Epoch: 40, Acc: 1.0, Acc_class: 1.0, mIoU: 1.0, fwIoU: 1.0, best_mIoU: 1.0, Loss: 0.000
Epoch: 41, Acc: 1.0, Acc_class: 1.0, mIoU: 1.0, fwIoU: 1.0, best_mIoU: 1.0, Loss: 0.000
Epoch: 42, Acc: 1.0, Acc_class: 1.0, mIoU: 1.0, fwIoU: 1.0, best_mIoU: 1.0, Loss: 0.000
Epoch: 224, Acc: 0.9819781326057997, Acc_class: 0.9591527275108949, mIoU: 0.9273480420292962, fwIoU: 0.9651781251103596, best_mIoU: 0.9273480420292962, Loss: 0.019
Epoch: 225, Acc: 0.9818547159295589, Acc_class: 0.9596137224533958, mIoU: 0.9269766645802642, fwIoU: 0.9649710868155464, best_mIoU: 0.9273480420292962, Loss: 0.019
Epoch: 226, Acc: 0.9816746017721192, Acc_class: 0.9595905570999534, mIoU: 0.9263415042563272, fwIoU: 0.9646473863376511, best_mIoU: 0.9273480420292962, Loss: 0.019
Epoch: 227, Acc: 0.9816261022717649, Acc_class: 0.9594512140136654, mIoU: 0.9261524348390359, fwIoU: 0.9645560565671208, best_mIoU: 0.9273480420292962, Loss: 0.018
Epoch: 228, Acc: 0.9818362809626201, Acc_class: 0.959383606287971, mIoU: 0.9268805251390926, fwIoU: 0.964930742380834, best_mIoU: 0.9273480420292962, Loss: 0.019
Epoch: 229, Acc: 0.9819507042452914, Acc_class: 0.9595337076842548, mIoU: 0.9273032412972724, fwIoU: 0.9651408565500874, best_mIoU: 0.9273480420292962, Loss: 0.020
Epoch: 230, Acc: 0.9808207602662826, Acc_class: 0.9571571267677337, mIoU: 0.9230201140651908, fwIoU: 0.9630418395979188, best_mIoU: 0.9273480420292962, Loss: 0.017
Epoch: 231, Acc: 0.9821245943589699, Acc_class: 0.9620572828914531, mIoU: 0.9282540645992541, fwIoU: 0.9655316222711199, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 232, Acc: 0.981383062940683, Acc_class: 0.9614102450866457, mIoU: 0.9255730690508885, fwIoU: 0.9641835523726502, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 233, Acc: 0.9816550551733293, Acc_class: 0.9610542232035848, mIoU: 0.9264732428711222, fwIoU: 0.9646586798206421, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 234, Acc: 0.9818504627823127, Acc_class: 0.9628316326268751, mIoU: 0.9273968814362212, fwIoU: 0.9650640920841003, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 235, Acc: 0.9816103302347362, Acc_class: 0.9605584652981125, mIoU: 0.926249142486737, fwIoU: 0.9645629577107011, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 236, Acc: 0.9818934193262544, Acc_class: 0.960329552254743, mIoU: 0.927209869866259, fwIoU: 0.9650630489380615, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 237, Acc: 0.9816776472055492, Acc_class: 0.958354438654915, mIoU: 0.9261821625324538, fwIoU: 0.9646134618778801, best_mIoU: 0.9282540645992541, Loss: 0.021
Epoch: 238, Acc: 0.9818383126705054, Acc_class: 0.9595812583372039, mIoU: 0.9269146195552658, fwIoU: 0.9649406319531182, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 239, Acc: 0.9815919116868673, Acc_class: 0.9607617985606591, mIoU: 0.9262125882073378, fwIoU: 0.9645364248489072, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 240, Acc: 0.9817048456990773, Acc_class: 0.959913837360441, mIoU: 0.9264917776412064, fwIoU: 0.9647118343081562, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 241, Acc: 0.9816709518736674, Acc_class: 0.9590324913220907, mIoU: 0.9262520579309788, fwIoU: 0.9646230956736412, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 242, Acc: 0.9815728607007462, Acc_class: 0.9569482904734596, mIoU: 0.9256191502056546, fwIoU: 0.9643803142657967, best_mIoU: 0.9282540645992541, Loss: 0.018
Epoch: 243, Acc: 0.9819544605636414, Acc_class: 0.9602832326649153, mIoU: 0.9274180236421506, fwIoU: 0.9651711271252297, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 244, Acc: 0.9819456307526584, Acc_class: 0.9614605571015944, mIoU: 0.9275458775471266, fwIoU: 0.9651920471545152, best_mIoU: 0.9282540645992541, Loss: 0.019
Epoch: 245, Acc: 0.9819196417972875, Acc_class: 0.9610784905240763, mIoU: 0.9274032103293421, fwIoU: 0.9651335274885675, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 246, Acc: 0.9818256657298018, Acc_class: 0.9588092000713023, mIoU: 0.9267647159078193, fwIoU: 0.9648935029843427, best_mIoU: 0.9282540645992541, Loss: 0.020
Epoch: 247, Acc: 0.9819941898481557, Acc_class: 0.960449510371731, mIoU: 0.9275801356974456, fwIoU: 0.9652476409156714, best_mIoU: 0.9282540645992541, Loss: 0.021
Epoch: 248, Acc: 0.9815212731990026, Acc_class: 0.9571702934513355, mIoU: 0.9254689509858645, fwIoU: 0.96429499007212, best_mIoU: 0.9282540645992541, Loss: 0.020
