,after_Acc,after_Acc_class,after_fwIoU,after_mIoU,before_Acc,before_Acc_class,before_fwIoU,before_mIoU,filename,markssp_num,ssp_num,threshold
181,0.91374588,0.913753078,0.841263885,0.850003897,0.898807526,0.89781039,0.816201983,0.827250324,softmax_prob_top_potsdam_3_11_RGBIR_0_1386.tif,113,,
182,0.957355499,0.696808459,0.922716417,0.501605367,0.944984436,0.704657792,0.903151832,0.480670447,softmax_prob_top_potsdam_6_10_RGBIR_5082_3234.tif,113,,
183,0.893016815,0.781354463,0.812524706,0.680864091,0.861785889,0.753652486,0.770135681,0.636870212,softmax_prob_top_potsdam_7_9_RGBIR_0_4620.tif,113,,
184,0.897193909,0.750103318,0.812525394,0.69639072,0.886569977,0.742941104,0.795744042,0.683914305,softmax_prob_top_potsdam_2_12_RGBIR_1848_462.tif,113,,
185,0.923442841,0.865319606,0.865354225,0.733754864,0.907108307,0.847209994,0.84146415,0.698609536,softmax_prob_top_potsdam_6_15_RGBIR_924_2310.tif,113,,
186,0.927146912,0.892728883,0.870629412,0.752138143,0.911304474,0.815546893,0.844906543,0.704176799,softmax_prob_top_potsdam_4_11_RGBIR_0_1848.tif,113,,
187,0.929073334,0.797540463,0.883793183,0.595807796,0.921699524,0.740324068,0.872149655,0.554610311,softmax_prob_top_potsdam_6_12_RGBIR_1386_1848.tif,113,,
188,0.973880768,0.775692816,0.95105745,0.608489742,0.958957672,0.513293749,0.922593077,0.395469653,softmax_prob_top_potsdam_6_13_RGBIR_1386_1386.tif,113,,
189,0.932167053,0.591589995,0.895648931,0.448894796,0.905471802,0.586152153,0.86038926,0.435864774,softmax_prob_top_potsdam_6_11_RGBIR_4620_2772.tif,113,,
190,0.819332123,0.784234673,0.711893471,0.642778008,0.786895752,0.769682632,0.671690936,0.614668111,softmax_prob_top_potsdam_6_12_RGBIR_462_3234.tif,113,,
191,0.961307526,0.920510306,0.927321454,0.585567888,0.955272675,0.906735383,0.916220207,0.574558773,softmax_prob_top_potsdam_3_11_RGBIR_1386_4158.tif,113,,
192,0.977893829,0.972300982,0.964780395,0.573742284,0.975776672,0.970356632,0.961977897,0.571406558,softmax_prob_top_potsdam_6_13_RGBIR_4158_2772.tif,113,,
193,0.996173859,0.996173859,0.996173859,0.332057953,0.992805481,0.992805481,0.992805481,0.33093516,softmax_prob_top_potsdam_7_10_RGBIR_2310_1386.tif,113,,
194,0.950771332,0.879717736,0.914802555,0.544502394,0.919368744,0.81409348,0.861691839,0.497419209,softmax_prob_top_potsdam_7_11_RGBIR_3696_5488.tif,113,,
195,0.86322403,0.72839331,0.777776916,0.574814612,0.812679291,0.642496413,0.704691284,0.472110616,softmax_prob_top_potsdam_7_11_RGBIR_924_3234.tif,113,,
196,0.742233276,0.67803015,0.596389673,0.422620131,0.698287964,0.436998861,0.540874039,0.338292507,softmax_prob_top_potsdam_3_12_RGBIR_2772_1848.tif,113,,
197,0.927566528,0.934831949,0.865803984,0.720112606,0.929843903,0.940452481,0.869759894,0.72559888,softmax_prob_top_potsdam_2_12_RGBIR_5082_462.tif,113,,
198,0.8657341,0.820006898,0.767487329,0.687259664,0.850212097,0.80401697,0.743922456,0.66030659,softmax_prob_top_potsdam_5_14_RGBIR_5488_924.tif,113,,
199,0.967437744,0.912902044,0.937866366,0.660522952,0.96521759,0.930235127,0.934589981,0.668914348,softmax_prob_top_potsdam_7_12_RGBIR_4158_3234.tif,113,,
200,0.907447815,0.864260702,0.840801344,0.725462809,0.881271362,0.844634995,0.80484351,0.674641252,softmax_prob_top_potsdam_4_12_RGBIR_5082_0.tif,113,,
201,0.900150299,0.801638672,0.828167619,0.705393948,0.860759735,0.718308356,0.7704095,0.599993986,softmax_prob_top_potsdam_4_12_RGBIR_5082_1386.tif,113,,
202,0.860069275,0.699740606,0.792963396,0.528007432,0.80934906,0.497116111,0.740018757,0.389606394,softmax_prob_top_potsdam_4_14_RGBIR_4620_2772.tif,113,,
203,0.880321503,0.62593639,0.78875555,0.45851423,0.853084564,0.593269901,0.746519366,0.428755337,softmax_prob_top_potsdam_2_12_RGBIR_924_5488.tif,113,,
