,filename,markssp_num
130,softmax_prob_chicago1_1386_462.tif,90
131,softmax_prob_chicago1_1848_3696.tif,118
132,softmax_prob_chicago1_1848_4158.tif,103
133,softmax_prob_chicago1_2310_0.tif,62
134,softmax_prob_chicago1_2310_2772.tif,89
135,softmax_prob_chicago1_2310_4158.tif,109
136,softmax_prob_chicago1_2772_0.tif,69
137,softmax_prob_chicago1_2772_462.tif,57
138,softmax_prob_chicago1_3234_2310.tif,76
139,softmax_prob_chicago1_3234_924.tif,76
140,softmax_prob_chicago1_4158_3696.tif,80
141,softmax_prob_chicago1_4158_462.tif,82
142,softmax_prob_chicago1_462_4158.tif,110
143,softmax_prob_chicago1_924_3234.tif,84
144,softmax_prob_chicago20_1386_4158.tif,85
145,softmax_prob_chicago20_2310_3234.tif,114
146,softmax_prob_chicago20_2310_4158.tif,92
147,softmax_prob_chicago20_2310_924.tif,99
148,softmax_prob_chicago20_2772_1386.tif,80
149,softmax_prob_chicago20_4158_2310.tif,80
150,softmax_prob_chicago20_4488_2310.tif,80
151,softmax_prob_chicago20_4488_4488.tif,67
152,softmax_prob_chicago20_462_4158.tif,126
153,softmax_prob_chicago20_924_2772.tif,111
154,softmax_prob_chicago21_0_3234.tif,75
155,softmax_prob_chicago21_1386_4158.tif,55
156,softmax_prob_chicago21_2310_4488.tif,75
157,softmax_prob_chicago21_2772_0.tif,99
158,softmax_prob_chicago21_2772_462.tif,104
159,softmax_prob_chicago21_3234_3234.tif,71
160,softmax_prob_chicago21_3234_4488.tif,99
161,softmax_prob_chicago21_3696_2772.tif,62
162,softmax_prob_chicago21_3696_4158.tif,86
163,softmax_prob_chicago21_4158_0.tif,69
164,softmax_prob_chicago21_4158_462.tif,79
165,softmax_prob_chicago21_4488_0.tif,84
166,softmax_prob_chicago21_4488_1848.tif,64
167,softmax_prob_chicago21_462_462.tif,123
168,softmax_prob_chicago21_924_0.tif,101
169,softmax_prob_chicago22_2310_0.tif,81
170,softmax_prob_chicago22_2772_4488.tif,90
171,softmax_prob_chicago22_3696_4158.tif,85
172,softmax_prob_chicago22_4158_0.tif,73
173,softmax_prob_chicago22_462_1386.tif,76
174,softmax_prob_chicago23_0_3234.tif,111
175,softmax_prob_chicago23_0_4488.tif,112
176,softmax_prob_chicago23_1386_2310.tif,71
177,softmax_prob_chicago23_2772_2310.tif,89
178,softmax_prob_chicago23_2772_3696.tif,90
179,softmax_prob_chicago23_3234_3234.tif,74
180,softmax_prob_chicago23_3696_1386.tif,82
181,softmax_prob_chicago23_3696_2310.tif,74
182,softmax_prob_chicago23_3696_4158.tif,76
183,softmax_prob_chicago23_4158_2772.tif,81
184,softmax_prob_chicago23_4158_3234.tif,82
185,softmax_prob_chicago23_4158_4158.tif,71
186,softmax_prob_chicago23_4158_462.tif,83
187,softmax_prob_chicago23_4488_2772.tif,82
188,softmax_prob_chicago23_462_1386.tif,63
189,softmax_prob_chicago23_462_3696.tif,100
190,softmax_prob_chicago23_462_924.tif,83
191,softmax_prob_chicago24_1386_924.tif,78
192,softmax_prob_chicago24_1848_4488.tif,86
193,softmax_prob_chicago24_3234_1386.tif,59
194,softmax_prob_chicago24_3234_4158.tif,64
195,softmax_prob_chicago24_3234_924.tif,63
196,softmax_prob_chicago24_3696_2772.tif,109
197,softmax_prob_chicago24_3696_3696.tif,66
198,softmax_prob_chicago24_3696_924.tif,80
199,softmax_prob_chicago24_4158_0.tif,77
200,softmax_prob_chicago24_4158_3234.tif,68
201,softmax_prob_chicago24_4158_4488.tif,81
202,softmax_prob_chicago24_462_4488.tif,85
203,softmax_prob_chicago25_1386_924.tif,84
204,softmax_prob_chicago25_1848_1386.tif,66
205,softmax_prob_chicago25_1848_4488.tif,66
206,softmax_prob_chicago25_2310_3696.tif,65
207,softmax_prob_chicago25_2772_924.tif,68
208,softmax_prob_chicago25_3696_4488.tif,51
209,softmax_prob_chicago25_4488_0.tif,63
210,softmax_prob_chicago25_4488_3696.tif,58
211,softmax_prob_chicago25_462_2772.tif,73
212,softmax_prob_chicago25_924_462.tif,49
213,softmax_prob_chicago26_1386_3696.tif,70
214,softmax_prob_chicago26_1386_924.tif,100
215,softmax_prob_chicago26_1848_0.tif,86
216,softmax_prob_chicago26_2310_2310.tif,108
217,softmax_prob_chicago26_2310_3696.tif,121
218,softmax_prob_chicago26_2772_1386.tif,96
219,softmax_prob_chicago26_3234_1848.tif,67
220,softmax_prob_chicago26_3696_2772.tif,66
221,softmax_prob_chicago26_3696_3234.tif,65
222,softmax_prob_chicago26_4488_0.tif,77
223,softmax_prob_chicago26_4488_2310.tif,62
224,softmax_prob_chicago26_4488_2772.tif,48
225,softmax_prob_chicago26_4488_3696.tif,54
226,softmax_prob_chicago26_462_0.tif,72
227,softmax_prob_chicago26_462_2310.tif,104
228,softmax_prob_chicago26_462_2772.tif,90
229,softmax_prob_chicago26_462_3696.tif,78
230,softmax_prob_chicago27_1386_1386.tif,70
231,softmax_prob_chicago27_1848_2310.tif,62
232,softmax_prob_chicago27_2310_1386.tif,88
233,softmax_prob_chicago27_2310_4158.tif,80
234,softmax_prob_chicago27_2772_462.tif,86
235,softmax_prob_chicago27_3234_462.tif,68
236,softmax_prob_chicago27_3696_4488.tif,85
237,softmax_prob_chicago27_4158_2310.tif,45
238,softmax_prob_chicago27_4488_2310.tif,69
239,softmax_prob_chicago27_4488_462.tif,75
